iter	Passed	Remaining
932	1569	112
933	1571	111
934	1573	109
935	1574	107
936	1576	105
937	1577	104
938	1579	102
939	1580	100
940	1581	99
941	1583	97
942	1585	95
943	1587	94
944	1588	92
945	1590	90
946	1591	89
947	1593	87
948	1594	85
949	1596	84
950	1597	82
951	1598	80
952	1600	78
953	1602	77
954	1603	75
955	1605	73
956	1606	72
957	1608	70
958	1610	68
959	1611	67
960	1613	65
961	1614	63
962	1618	62
963	1619	60
964	1621	58
965	1622	57
966	1623	55
967	1625	53
968	1626	52
969	1627	50
970	1629	48
971	1630	46
972	1633	45
973	1635	43
974	1636	41
975	1637	40
976	1639	38
977	1640	36
978	1641	35
979	1643	33
980	1644	31
981	1646	30
982	1648	28
983	1649	26
984	1650	25
985	1652	23
986	1653	21
987	1654	20
988	1656	18
989	1657	16
990	1659	15
991	1660	13
992	1661	11
993	1663	10
994	1665	8
995	1666	6
996	1668	5
997	1669	3
998	1670	1
999	1672	0
